tx,ty,land_frac,elev_min,elev_max,hi,r1000_p90,r1000_max,r2500_p99,r2500_max,r5000_max,w2k_p99,w2k_max,w2k_max_x0,w2k_max_y0,w2k_max_x1,w2k_max_y1,slope_p90,slope_p99,slope_bc,tri_mean,misses
-16,-16,1,193.208,1363.5,0.462193,256.65,438.691,582.95,634.754,869.459,341.15,506.931,-243480,-239910,-245490,-239910,25.51,36.93,0.520888,19.5574,0
-16,-15,1,16.331,820.886,0.318381,272.35,452.659,548.85,606.996,706.883,372.25,503.103,-245250,-215310,-243240,-215310,22.23,34.35,0.554791,15.3059,0
-16,-14,0.902628,0,1496.76,0.200963,433.15,931.922,1045.25,1248.62,1470.81,630.85,1064.67,-232110,-206370,-230700,-207780,32.85,49.59,0.461718,24.4671,0
-16,-13,0.0924289,0,444.121,0.004501,2.35,442.692,356.35,444.121,444.121,61.15,443.387,-235500,-197940,-234090,-199350,0.09,10.51,0.900575,0.662189,0
-16,-12,0.0496065,0,38.324,0.0115612,0.05,38.324,38.35,38.324,38.324,17.85,38.324,-235830,-182550,-233820,-182550,0.01,4.07,0.755515,0.221403,0
-16,-11,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-245520,-168720,-243510,-168720,0.01,0.01,0,0,0
-16,-10,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-245520,-153360,-243510,-153360,0.01,0.01,0,0,0
-16,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-245520,-138000,-243510,-138000,0.01,0.01,0,0,0
-16,-8,0.0565898,0,383.33,0.0104628,0.05,369.598,309.75,383.33,383.33,131.35,373.722,-243540,-110130,-244950,-108720,0.01,22.47,0.888169,0.852782,0
-16,-7,0.694561,0,370.841,0.279901,130.15,348.008,309.75,368.873,370.841,206.25,365.658,-237330,-92490,-239340,-92490,9.41,24.19,0.587819,5.34514,0
-16,-6,0.969567,0,996.554,0.307181,305.25,668.138,664.85,669.362,742.842,399.45,666.523,-232950,-86160,-231540,-84750,21.67,36.69,0.624539,12.2119,0
-16,-5,1,222.74,3177,0.300237,538.25,845.309,1179.45,1375.54,2000.01,753.55,1039.79,-239100,-63240,-240510,-61830,33.51,43.61,0.509678,26.4697,0
-16,-4,1,662.064,3748.5,0.432962,664.45,1100.81,1484.25,1558.18,2090.04,936.35,1329.13,-238140,-57840,-239550,-56430,37.63,47.25,0.450434,32.9756,0
-16,-3,1,495.254,2623.56,0.446526,541.05,732.988,1142.25,1223.55,1646.77,731.05,989.907,-232830,-44820,-234840,-44820,32.17,40.07,0.408836,28.7339,0
-16,-2,0.870252,0,1396.12,0.320399,511.35,838.537,1044.05,1102.5,1297.59,680.05,913.954,-242700,-23880,-242700,-25890,32.45,47.03,0.532917,21.4444,0
-16,-1,0.00116253,0,0.511,0.000315462,0.05,0.511,0.05,0.511,0.511,0.05,0.511,-243060,-14310,-245070,-14310,0.01,0.01,0.866276,0.000916155,0
-16,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-245520,240,-243510,240,0.01,0.01,0,0,0
-15,-16,1,173.411,989.477,0.530789,408.15,569.021,715.95,749.333,796.146,489.95,651.019,-217740,-240390,-216330,-241800,32.01,40.67,0.462281,27.8325,0
-15,-15,1,155.21,1677.92,0.264261,394.35,774.632,903.85,1075.78,1313.45,508.85,872.953,-223950,-217320,-223950,-215310,32.23,41.97,0.42337,28.4914,0
-15,-14,1,1.801,1802.93,0.446965,631.15,960.744,1261.25,1317.92,1553.52,850.15,1075.17,-227610,-204930,-229020,-206340,38.23,48.33,0.401638,35.6174,0
-15,-13,0.310281,0,721.125,0.0614743,366.45,633.83,719.85,721.125,721.125,517.25,709.601,-222810,-196230,-221400,-197640,22.57,47.57,0.843955,7.73502,0
-15,-12,0.0749098,0,167.748,0.00819921,12.85,167.748,123.15,167.748,167.748,55.15,167.748,-219660,-183870,-221670,-183870,0.01,9.67,0.74577,0.596107,0
-15,-11,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-230160,-168720,-228150,-168720,0.01,0.01,0,0,0
-15,-10,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-230160,-153360,-228150,-153360,0.01,0.01,0,0,0
-15,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-230160,-138000,-228150,-138000,0.01,0.01,0,0,0
-15,-8,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-230160,-122640,-228150,-122640,0.01,0.01,0,0,0
-15,-7,0.402116,0,11.6,0.101963,3.95,7.97,7.95,10.386,11.6,4.05,7.97,-224640,-102150,-224640,-100140,0.63,1.63,0.530768,0.433006,0
-15,-6,0.998801,0,519.744,0.0948219,118.15,330.844,340.45,384.219,497.358,218.05,349.703,-228660,-78840,-230070,-77430,8.57,23.43,0.728656,4.53901,0
-15,-5,1,77.957,1058.01,0.283712,371.15,592.844,712.35,795.849,865.551,437.85,654.685,-217230,-66060,-215820,-64650,28.43,42.51,0.629582,17.5561,0
-15,-4,1,305.432,2464.55,0.453285,686.05,1056.18,1473.55,1550.7,1972.13,889.65,1281.99,-221580,-51810,-220170,-50400,37.49,58.11,0.467524,31.9889,0
-15,-3,1,346.121,2255.53,0.366933,554.15,794.696,1129.35,1232.92,1619.27,735.45,918.385,-217440,-39540,-218850,-40950,34.75,44.15,0.383948,32.2406,0
