seconds,stage,waypoint,x_m,y_m,z_m,controller_speed_m_s,actual_speed_m_s,grounded,waiting,water_mm,slope_mm_per_m,biome,distance_m,travel_m,frame_ms
306.778,walk,0,-153935.240,-81480.499,64.400,2.200,1.766,1,0,0,21,3,4.770,0.962,27.472
307.298,walk,0,-153934.501,-81480.881,64.084,2.200,1.602,0,0,0,14,3,3.998,1.881,26.185
308.103,walk,0,-153933.416,-81482.233,63.801,2.200,2.154,1,0,0,6,3,2.264,3.614,357.026
309.170,walk,0,-153932.223,-81483.722,63.801,2.200,1.786,1,0,0,38,3,0.357,5.522,400.000
311.684,walk,1,-153932.155,-81482.822,63.801,2.200,1.880,1,0,0,16,3,22.823,6.502,22.789
312.203,walk,1,-153932.148,-81481.682,63.801,2.200,2.199,1,0,0,28,3,21.683,7.642,21.631
312.713,walk,1,-153932.140,-81480.562,63.901,2.200,2.196,1,0,0,50,3,20.563,8.763,23.714
313.218,walk,1,-153932.132,-81479.453,63.901,2.200,2.195,1,0,0,44,3,19.454,9.872,25.082
313.953,walk,1,-153932.121,-81477.852,63.901,2.200,2.178,1,0,0,17,3,17.852,11.473,241.592
314.474,walk,1,-153932.114,-81476.688,63.901,2.200,2.236,1,0,0,14,3,16.689,12.636,23.476
314.978,walk,1,-153932.106,-81475.578,63.901,2.200,2.203,1,0,0,39,3,15.578,13.747,24.007
315.485,walk,1,-153932.098,-81474.462,63.901,2.200,2.199,1,0,0,61,3,14.462,14.863,28.089
316.002,walk,1,-153932.091,-81473.324,63.901,2.200,2.203,1,0,0,82,3,13.324,16.001,21.498
316.512,walk,1,-153932.083,-81472.200,63.801,2.200,2.201,1,0,0,86,3,12.201,17.125,23.715
317.417,walk,1,-153932.075,-81471.083,63.801,2.200,1.235,1,0,0,64,3,11.083,18.242,400.000
317.934,walk,1,-153932.067,-81469.785,63.701,2.200,2.512,1,0,0,48,3,9.786,19.540,27.840
318.717,walk,1,-153932.055,-81468.094,63.701,2.200,2.161,1,0,0,55,3,8.094,21.231,320.802
319.236,walk,1,-153932.047,-81466.920,63.601,2.200,2.260,1,0,0,53,3,6.920,22.405,22.699
319.753,walk,1,-153932.039,-81465.782,63.601,2.200,2.201,1,0,0,53,3,5.782,23.543,23.156
320.443,walk,1,-153932.032,-81464.705,63.601,2.200,1.561,1,0,0,48,3,4.705,24.620,400.000
320.950,walk,1,-153932.024,-81463.555,63.501,2.200,2.270,1,0,0,19,3,3.555,25.770,22.877
321.462,walk,1,-153932.017,-81462.431,63.501,2.200,2.197,1,0,0,4,3,2.431,26.895,21.792
321.969,walk,1,-153932.009,-81461.313,63.501,2.200,2.204,1,0,0,31,3,1.313,28.012,21.249
322.237,walk,1,-153932.005,-81460.723,63.601,2.200,2.195,1,0,0,39,3,0.723,28.602,20.568
324.903,walk,2,-153932.336,-81459.617,63.600,2.200,2.120,1,0,0,30,3,24.830,29.708,21.335
325.411,walk,2,-153932.680,-81458.557,63.601,2.200,2.192,1,0,0,14,3,23.715,30.823,25.675
325.918,walk,2,-153933.024,-81457.495,63.601,2.200,2.201,1,0,0,24,3,22.598,31.940,29.042
326.434,walk,2,-153933.374,-81456.418,63.700,2.200,2.197,1,0,0,44,3,21.466,33.072,25.026
326.941,walk,2,-153933.718,-81455.357,63.701,2.200,2.197,1,0,0,22,3,20.350,34.188,21.912
327.444,walk,2,-153934.061,-81454.300,63.701,2.200,2.210,1,0,0,13,3,19.240,35.298,21.566
327.960,walk,2,-153934.412,-81453.220,63.701,2.200,2.202,1,0,0,36,3,18.104,36.434,21.539
328.757,walk,2,-153934.833,-81451.922,63.801,2.200,1.711,1,0,0,21,3,16.740,37.798,400.000
329.282,walk,2,-153935.199,-81450.793,63.801,2.200,2.264,1,0,0,27,3,15.552,38.986,23.729
329.789,walk,2,-153935.544,-81449.730,63.801,2.200,2.202,1,0,0,45,3,14.434,40.103,21.962
330.306,walk,2,-153935.896,-81448.647,63.701,2.200,2.201,1,0,0,32,3,13.297,41.241,29.877
330.807,walk,2,-153936.235,-81447.602,63.701,2.200,2.193,1,0,0,10,3,12.197,42.341,23.352
331.318,walk,2,-153936.583,-81446.529,63.701,2.200,2.209,1,0,0,5,3,11.069,43.469,20.699
332.024,walk,2,-153936.898,-81445.559,63.701,2.200,1.444,1,0,0,9,3,10.049,44.489,400.000
332.593,walk,2,-153937.293,-81444.342,63.701,2.200,2.248,1,0,0,8,3,8.771,45.767,400.000
333.101,walk,2,-153937.646,-81443.253,63.701,2.200,2.256,1,0,0,21,3,7.626,46.912,20.957
333.615,walk,2,-153937.996,-81442.176,63.701,2.200,2.202,1,0,0,27,3,6.493,48.045,20.808
334.125,walk,2,-153938.341,-81441.112,63.701,2.200,2.196,1,0,0,30,3,5.374,49.164,21.886
334.629,walk,2,-153938.684,-81440.055,63.701,2.200,2.202,1,0,0,12,3,4.263,50.275,23.443
335.244,walk,2,-153938.984,-81439.130,63.701,2.200,1.582,1,0,0,3,3,3.290,51.247,400.000
335.754,walk,2,-153939.344,-81438.022,63.701,2.200,2.282,1,0,0,11,3,2.126,52.412,28.832
336.260,walk,2,-153939.688,-81436.963,63.701,2.200,2.203,1,0,0,34,3,1.012,53.526,22.238
336.472,walk,2,-153939.829,-81436.528,63.701,2.200,2.150,1,0,0,46,3,0.555,53.983,122.665
339.012,walk,3,-153940.592,-81435.633,63.801,2.200,2.235,1,0,0,49,3,21.950,55.122,20.469
339.514,walk,3,-153941.367,-81434.847,63.801,2.200,2.199,1,0,0,37,3,20.846,56.226,22.766
340.027,walk,3,-153942.159,-81434.044,63.901,2.200,2.201,1,0,0,45,3,19.718,57.354,21.106
341.176,walk,3,-153943.040,-81433.149,63.901,2.200,1.092,1,0,0,34,3,18.462,58.610,400.000
341.869,walk,3,-153943.958,-81432.218,63.901,2.200,1.888,1,0,0,21,3,17.154,59.918,400.000
342.643,walk,3,-153945.084,-81431.076,63.901,2.200,2.071,1,0,0,39,3,15.551,61.521,400.000
343.523,walk,3,-153946.230,-81429.913,63.901,2.200,1.857,1,0,0,47,3,13.918,63.154,400.000
344.046,walk,3,-153947.150,-81428.979,63.801,2.200,2.507,1,0,0,52,3,12.607,64.465,22.841
344.561,walk,3,-153947.948,-81428.169,63.801,2.200,2.204,1,0,0,51,3,11.470,65.602,21.575
345.081,walk,3,-153948.752,-81427.354,63.701,2.200,2.201,1,0,0,38,3,10.326,66.746,20.646
345.709,walk,3,-153949.702,-81426.390,63.701,2.200,2.155,1,0,0,48,3,8.972,68.100,304.602
346.214,walk,3,-153950.498,-81425.582,63.701,2.200,2.249,1,0,0,54,3,7.838,69.234,23.172
346.735,walk,3,-153951.304,-81424.764,63.601,2.200,2.204,1,0,0,50,3,6.690,70.383,20.876
347.758,walk,3,-153952.627,-81423.422,63.585,2.200,1.841,1,0,0,43,3,4.805,72.267,400.000
348.281,walk,3,-153953.463,-81422.574,63.501,2.200,2.277,1,0,0,12,3,3.615,73.458,22.934
348.790,walk,3,-153954.250,-81421.775,63.501,2.200,2.203,1,0,0,33,3,2.493,74.580,23.176
349.300,walk,3,-153955.038,-81420.976,63.501,2.200,2.202,1,0,0,44,3,1.370,75.702,20.710
349.688,walk,3,-153955.621,-81420.385,63.401,2.200,2.139,1,0,0,31,3,0.540,76.532,270.590
352.223,walk,4,-153956.156,-81419.386,63.401,2.200,2.090,1,0,0,14,3,17.270,77.616,22.665
352.732,walk,4,-153956.665,-81418.388,63.401,2.200,2.201,1,0,0,16,3,16.150,78.737,24.000
353.868,walk,4,-153957.483,-81416.783,63.401,2.200,1.585,1,0,0,29,3,14.349,80.538,400.000
354.389,walk,4,-153958.021,-81415.728,63.501,2.200,2.275,1,0,0,32,3,13.164,81.722,21.467
355.396,walk,4,-153958.818,-81414.165,63.501,2.200,1.741,1,0,0,15,3,11.410,83.477,400.000
355.926,walk,4,-153959.407,-81413.009,63.501,2.200,2.448,1,0,0,25,3,10.113,84.774,330.035
356.426,walk,4,-153959.919,-81412.101,63.501,2.200,2.084,1,0,0,53,3,9.071,85.842,25.518
356.940,walk,4,-153960.406,-81412.101,63.501,2.200,0.949,1,0,0,64,3,8.863,86.329,25.420
357.455,walk,4,-153960.852,-81411.492,63.501,2.200,1.464,1,0,0,82,3,8.126,87.180,21.561
357.979,walk,4,-153961.297,-81410.432,63.501,2.200,2.194,1,0,0,74,3,6.977,88.329,29.301
358.480,walk,4,-153961.724,-81409.417,63.501,2.200,2.197,1,0,0,28,3,5.876,89.430,29.334
358.986,walk,4,-153962.156,-81408.387,63.501,2.200,2.207,1,0,0,32,3,4.759,90.547,21.700
359.730,walk,4,-153962.671,-81407.162,63.501,2.200,1.789,1,0,0,73,3,3.430,91.876,400.000
360.418,walk,4,-153963.215,-81405.868,63.601,2.200,2.039,1,0,0,83,3,2.026,93.280,400.000
360.982,walk,4,-153963.730,-81404.644,63.601,2.200,2.356,1,0,0,99,3,0.698,94.608,94.008
363.505,walk,5,-153963.770,-81403.522,63.701,2.200,2.088,1,0,0,119,3,23.523,95.683,22.463
364.017,walk,5,-153963.781,-81402.398,63.801,2.200,2.198,1,0,0,158,3,22.399,96.807,22.816
364.745,walk,5,-153963.796,-81400.830,63.901,2.200,2.153,1,0,0,143,3,20.831,98.375,329.665
365.266,walk,5,-153963.808,-81399.650,64.001,2.200,2.267,1,0,0,157,3,19.651,99.556,21.481
365.783,walk,5,-153963.819,-81398.510,64.101,2.200,2.202,1,0,0,189,3,18.511,100.695,21.416
366.289,walk,5,-153963.830,-81397.398,64.201,2.200,2.199,1,0,0,206,3,17.399,101.807,22.179
366.808,walk,5,-153963.841,-81396.257,64.301,2.200,2.197,1,0,0,219,3,16.258,102.948,21.586
367.801,walk,5,-153963.860,-81394.301,64.401,2.200,1.971,1,0,0,245,3,14.302,104.905,400.000
368.303,walk,5,-153963.872,-81393.044,64.501,2.200,2.505,1,0,0,160,3,13.044,106.162,46.000
368.967,walk,5,-153963.886,-81391.602,64.501,2.200,2.170,1,0,0,132,3,11.602,107.604,181.040
369.488,walk,5,-153963.898,-81390.434,64.601,2.200,2.241,1,0,0,115,3,10.435,108.772,22.783
369.998,walk,5,-153963.909,-81389.311,64.601,2.200,2.206,1,0,0,95,3,9.311,109.895,21.505
370.653,walk,5,-153963.923,-81387.915,64.701,2.200,2.130,1,0,0,82,3,7.915,111.291,390.281
371.173,walk,5,-153963.934,-81386.729,64.801,2.200,2.282,1,0,0,100,3,6.729,112.477,21.554
371.701,walk,5,-153963.946,-81385.565,64.901,2.200,2.204,1,0,0,78,3,5.565,113.641,27.854
372.205,walk,5,-153963.956,-81384.457,64.901,2.200,2.200,1,0,0,45,3,4.457,114.749,22.409
372.720,walk,5,-153963.967,-81383.325,65.000,2.200,2.198,1,0,0,74,3,3.325,115.881,26.272
373.724,walk,5,-153963.985,-81381.509,65.201,2.200,1.808,1,0,0,289,3,1.509,117.697,400.000
374.708,walk,5,-153963.999,-81380.144,65.301,2.200,1.387,1,0,0,216,3,0.144,119.062,400.000
377.576,walk,6,-153963.999,-81378.315,65.301,2.200,2.091,1,0,0,48,3,14.315,120.840,385.552
378.098,walk,6,-153963.999,-81377.129,65.301,2.200,2.273,1,0,0,40,3,13.129,122.025,24.113
378.616,walk,6,-153964.000,-81375.988,65.301,2.200,2.199,1,0,0,13,3,11.988,123.166,22.263
379.309,walk,6,-153964.000,-81375.108,65.301,2.200,1.270,1,0,0,21,3,11.108,124.046,400.000
379.857,walk,6,-153964.000,-81373.738,65.301,2.200,2.504,1,0,0,30,3,9.738,125.417,65.311
381.194,walk,6,-153964.000,-81371.768,65.401,2.200,1.473,1,0,0,92,3,7.768,127.387,400.000
381.702,walk,6,-153964.000,-81370.412,65.501,2.200,2.669,1,0,0,107,3,6.412,128.743,26.060
382.591,walk,6,-153964.000,-81368.708,65.701,2.200,1.917,1,0,0,86,3,4.708,130.446,400.000
383.099,walk,6,-153964.000,-81368.401,65.901,2.200,0.604,1,0,0,87,3,4.401,130.754,32.938
383.612,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,43.083
384.124,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,22.927
384.637,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,23.458
385.153,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,24.140
385.664,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,23.147
386.174,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,87,3,4.401,130.754,22.841
386.696,walk,6,-153964.000,-81368.401,65.900,2.200,0.000,1,0,0,87,3,4.401,130.754,25.964
387.217,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.551
387.732,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,24.952
388.235,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,24.014
388.736,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.604
389.258,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.303
389.761,walk,6,-153964.000,-81368.401,65.900,2.200,0.000,1,0,0,90,3,4.401,130.754,25.773
390.284,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,24.482
390.787,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.888
391.302,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,22.853
391.817,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.209
392.323,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.430
392.828,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,24.533
393.343,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.173
393.864,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.856
394.383,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,24.009
394.887,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.473
395.410,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.931
395.911,walk,6,-153964.000,-81368.401,65.901,2.200,0.000,1,0,0,90,3,4.401,130.754,23.005
396.436,walk,6,-153964.000,-81368.401,65.900,2.200,0.000,1,0,0,90,3,4.401,130.754,26.249
